Agency,Complaint Type,Descriptor,Additional_Details,Public View,Location_Type,agency_label,agency_id,complaint_description,Predicted_Agency
Department of Consumer Affairs,Consumer Complaint,Secondhand Dealer,Non-Delivery Goods/Services,Yes,Business,2,2,consumer complaint secondhand dealer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Secondhand Dealer,Required Signage Not Posted,Yes,Business,2,2,consumer complaint secondhand dealer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Secondhand Dealer,Damaged/Defective Goods,Yes,Business,2,2,consumer complaint secondhand dealer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Secondhand Dealer,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint secondhand dealer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Secondhand Dealer,False Advertising,Yes,Business,2,2,consumer complaint secondhand dealer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Sidewalk Cafe,Sidewalk Blocked,Yes,Business,2,2,consumer complaint sidewalk cafe,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Sidewalk Cafe,Unlicensed,Yes,Business,2,2,consumer complaint sidewalk cafe,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Spanish Speaking Business,Spanish Transaction,Yes,Business,2,2,consumer complaint spanish speaking business,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Stoop Line,Sidewalk Blocked,Yes,Business,2,2,consumer complaint stoop line,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Stoop Line,Unlicensed,Yes,Business,2,2,consumer complaint stoop line,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Storage Warehouse,Unlicensed,Yes,Business,2,2,consumer complaint storage warehouse,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Storage Warehouse,Overcharge,Yes,Business,2,2,consumer complaint storage warehouse,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Storage Warehouse,Lost Property,Yes,Business,2,2,consumer complaint storage warehouse,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Storage Warehouse,Damaged/Defective Goods,Yes,Business,2,2,consumer complaint storage warehouse,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Storage Warehouse,Contract Dispute,Yes,Business,2,2,consumer complaint storage warehouse,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Street Fair Vendor,Damaged/Defective Goods,Yes,Business,2,2,consumer complaint street fair vendor,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Street Fair Vendor,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint street fair vendor,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Street Fair Vendor,False Advertising,Yes,Business,2,2,consumer complaint street fair vendor,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Street Fair Vendor,Scale Inaccurate/Broken,Yes,Business,2,2,consumer complaint street fair vendor,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Street Fair Vendor,Overcharge,Yes,Business,2,2,consumer complaint street fair vendor,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Street Fair Vendor,Unlicensed,Yes,Business,2,2,consumer complaint street fair vendor,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tax Preparer,Overcharge,Yes,Business,2,2,consumer complaint tax preparer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tax Preparer,Non-Disclosure of Fees,Yes,Business,2,2,consumer complaint tax preparer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tax Preparer,Returns Not Filed,Yes,Business,2,2,consumer complaint tax preparer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tax Preparer,Receipt Incomplete/Not Given,Yes,Business,2,2,consumer complaint tax preparer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tax Preparer,False Advertising,Yes,Business,2,2,consumer complaint tax preparer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tax Preparer,High Interest Loan,Yes,Business,2,2,consumer complaint tax preparer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tax Preparer,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint tax preparer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Ticket Broker,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint ticket broker,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Ticket Broker,Overcharge,Yes,Business,2,2,consumer complaint ticket broker,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Ticket Broker,Unlicensed,Yes,Business,2,2,consumer complaint ticket broker,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tour Company,Unlicensed,Yes,Business,2,2,consumer complaint tour company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tour Company,Overcharge,Yes,Business,2,2,consumer complaint tour company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tour Company,No or Defective Headphones,Yes,Business,2,2,consumer complaint tour company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tour Company,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint tour company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tour Company,False Advertising,Yes,Business,2,2,consumer complaint tour company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tow Truck Company,Illegal Tow,Yes,Business,2,2,consumer complaint tow truck company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tow Truck Company,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint tow truck company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tow Truck Company,Damaged Vehicle,Yes,Business,2,2,consumer complaint tow truck company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tow Truck Company,Damaged/Defective Goods,Yes,Business,2,2,consumer complaint tow truck company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tow Truck Company,Demand for Cash,Yes,Business,2,2,consumer complaint tow truck company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tow Truck Company,Contact Sign Not Posted,Yes,Business,2,2,consumer complaint tow truck company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tow Truck Company,Billing Dispute,Yes,Business,2,2,consumer complaint tow truck company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Tow Truck Company,Unlicensed,Yes,Business,2,2,consumer complaint tow truck company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Travel Agency,Overcharge,Yes,Business,2,2,consumer complaint travel agency,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Travel Agency,Non-Delivery Goods/Services,Yes,Business,2,2,consumer complaint travel agency,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Travel Agency,Contract Dispute,Yes,Business,2,2,consumer complaint travel agency,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Travel Agency,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint travel agency,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Travel Agency,False Advertising,Yes,Business,2,2,consumer complaint travel agency,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Used Gun Dealer,False Advertising,Yes,Business,2,2,consumer complaint used gun dealer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Used Gun Dealer,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint used gun dealer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Used Gun Dealer,Damaged/Defective Goods,Yes,Business,2,2,consumer complaint used gun dealer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Used Gun Dealer,Overcharge,Yes,Business,2,2,consumer complaint used gun dealer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Used Gun Dealer,Unlicensed,Yes,Business,2,2,consumer complaint used gun dealer,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Utility Company,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint utility company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Utility Company,False Advertising,Yes,Business,2,2,consumer complaint utility company,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Vendor,In Prohibited Area,Yes,Business,2,2,consumer complaint vendor,Department of Consumer Affairs
Department of Consumer Affairs,Consumer Complaint,Vendor,Unlicensed,Yes,Business,2,2,consumer complaint vendor,Department of Consumer Affairs
Department of Consumer Affairs,Consumer Complaint,Vendor,Receipt Incomplete/Not Given,Yes,Business,2,2,consumer complaint vendor,Department of Consumer Affairs
Department of Consumer Affairs,Consumer Complaint,Vendor,Overcharge,Yes,Business,2,2,consumer complaint vendor,Department of Consumer Affairs
Department of Consumer Affairs,Consumer Complaint,Vendor,Price Not Posted,Yes,Business,2,2,consumer complaint vendor,Department of Consumer Affairs
Department of Consumer Affairs,Consumer Complaint,Vocational or Trade School,Non-Delivery Goods/Services,Yes,Business,2,2,consumer complaint vocational or trade school,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Vocational or Trade School,Non-Disclosure of Fees,Yes,Business,2,2,consumer complaint vocational or trade school,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Vocational or Trade School,Unlicensed,Yes,Business,2,2,consumer complaint vocational or trade school,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Vocational or Trade School,High Pressure to Take on Loan/Debt,Yes,Business,2,2,consumer complaint vocational or trade school,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Vocational or Trade School,False Advertising,Yes,Business,2,2,consumer complaint vocational or trade school,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Vocational or Trade School,Exchange/Refund/Return,Yes,Business,2,2,consumer complaint vocational or trade school,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Vocational or Trade School,Dissatisfaction with Provider,Yes,Business,2,2,consumer complaint vocational or trade school,Taxi and Limousine Commission
Department of Consumer Affairs,Consumer Complaint,Vocational or Trade School,Closed without Notice,Yes,Business,2,2,consumer complaint vocational or trade school,Taxi and Limousine Commission
Department of Education,School Maintenance,Air Conditioning Problem,Air Conditioning Not Working,Yes,School,3,3,school maintenance air conditioning problem,Department of Health and Mental Hygiene
Department of Education,School Maintenance,Air Conditioning Problem,Inadequate Air Conditioning,Yes,School,3,3,school maintenance air conditioning problem,Department of Health and Mental Hygiene
Department of Education,School Maintenance,Air Conditioning Problem,No Air Conditioning,Yes,School,3,3,school maintenance air conditioning problem,Department of Health and Mental Hygiene
Department of Education,School Maintenance,Asbestos,Exposed,Yes,School,3,3,school maintenance asbestos,Department of Health and Mental Hygiene
Department of Education,School Maintenance,Asbestos,Falling,Yes,School,3,3,school maintenance asbestos,Department of Health and Mental Hygiene
Department of Education,School Maintenance,Broken Fence,Lock,Yes,School,3,3,school maintenance broken fence,Department of Education
Department of Education,School Maintenance,Broken Fence,Fence,Yes,School,3,3,school maintenance broken fence,Department of Education
Department of Education,School Maintenance,Broken Fence,Gate,Yes,School,3,3,school maintenance broken fence,Department of Education
Department of Education,School Maintenance,Broken Lock,Does Not Lock,Yes,School,3,3,school maintenance broken lock,Department of Education
Department of Education,School Maintenance,Broken Lock,Does Not Open,Yes,School,3,3,school maintenance broken lock,Department of Education
Department of Education,School Maintenance,Broken Water Fountain,Fountain Damaged,Yes,School,3,3,school maintenance broken water fountain,Department of Education
Department of Education,School Maintenance,Broken Water Fountain,No Water,Yes,School,3,3,school maintenance broken water fountain,Department of Education
Department of Education,School Maintenance,Broken Water Fountain,Pressure Too Low,Yes,School,3,3,school maintenance broken water fountain,Department of Education
Department of Education,School Maintenance,Broken Window,Interior Window,Yes,School,3,3,school maintenance broken window,Department of Education
Department of Education,School Maintenance,Broken Window,Exterior Window,Yes,School,3,3,school maintenance broken window,Department of Education
Department of Education,School Maintenance,Graffiti,,Yes,School,3,3,school maintenance graffiti,Department of Transportation
Department of Education,School Maintenance,Heating Problem,Inadequate Heat,Yes,School,3,3,school maintenance heating problem,Department of Education
Department of Education,School Maintenance,Heating Problem,No Heat,Yes,School,3,3,school maintenance heating problem,Department of Education
Department of Education,School Maintenance,Lack of Supplies,,Yes,School,3,3,school maintenance lack of supplies,Department of Health and Mental Hygiene
Department of Education,School Maintenance,Leaky Roof,Falling Debris,Yes,School,3,3,school maintenance leaky roof,Department of Education
Department of Education,School Maintenance,Leaky Roof,Ceiling Discolored,Yes,School,3,3,school maintenance leaky roof,Department of Education
Department of Education,School Maintenance,Leaky Roof,Tiles Missing,Yes,School,3,3,school maintenance leaky roof,Department of Education
Department of Education,School Maintenance,Other School Condition,,Yes,School,3,3,school maintenance other school condition,Department of Transportation
Department of Education,School Maintenance,Plumbing Problem,Toilets,Yes,School,3,3,school maintenance plumbing problem,Department of Education
Department of Education,School Maintenance,Plumbing Problem,Other Water Source,Yes,School,3,3,school maintenance plumbing problem,Department of Education
Department of Education,School Maintenance,Plumbing Problem,Sinks,Yes,School,3,3,school maintenance plumbing problem,Department of Education
Department of Education,School Maintenance,Poison Ivy,,Yes,School,3,3,school maintenance poison ivy,Department of Health and Mental Hygiene
Department of Education,School Maintenance,Rodents/Mice,Signs of Rodents,Yes,School,3,3,school maintenance rodents/mice,Department of Education
Department of Education,School Maintenance,Rodents/Mice,Rodents Seen,Yes,School,3,3,school maintenance rodents/mice,Department of Education
Department of Education,School Maintenance,Snow/Ice,,Yes,School,3,3,school maintenance snow/ice,Department of Health and Mental Hygiene
Department of Education,School Maintenance,Unclean Condition,,Yes,School,3,3,school maintenance unclean condition,Department of Education
Department of Environmental Protection,Air Quality,Asbestos Disturbance,,Yes,,4,4,air quality asbestos disturbance,Department of Environmental Protection
Department of Environmental Protection,Air Quality,Chimney/Vent Smoke,,Yes,Commercial/Mixed Use Building,4,4,air quality chimney/vent smoke,Department of Environmental Protection
Department of Environmental Protection,Air Quality,Chimney/Vent Smoke,,Yes,Residential Building,4,4,air quality chimney/vent smoke,Department of Environmental Protection
Department of Environmental Protection,Air Quality,Dry Cleaner Odor,,Yes,Commercial/Mixed Use Building,4,4,air quality dry cleaner odor,Department of Environmental Protection
Department of Environmental Protection,Air Quality,Dust from Construction,,Yes,Street/Sidewalk,4,4,air quality dust from construction,Department of Environmental Protection
Department of Environmental Protection,Air Quality,Dust from Construction,,Yes,Within Building,4,4,air quality dust from construction,Department of Environmental Protection
Department of Environmental Protection,Air Quality,Dust,,Yes,,4,4,air quality dust,Department of Environmental Protection
Department of Environmental Protection,Air Quality,Nail Salon Odor,,Yes,Commercial/Mixed Use Building,4,4,air quality nail salon odor,Department of Environmental Protection
Department of Environmental Protection,Air Quality,Other Air Problem,,Yes,,4,4,air quality other air problem,Department of Environmental Protection
Department of Environmental Protection,Air Quality,Restaurant Odor,,Yes,Commercial/Mixed Use Building,4,4,air quality restaurant odor,Department of Environmental Protection
Department of Environmental Protection,Air Quality,Sweet Odor From Unknown Source,,Yes,,4,4,air quality sweet odor from unknown source,Department of Environmental Protection
Department of Environmental Protection,Air Quality,Vehicle Exhaust Smoke,,Yes,Street/Sidewalk,4,4,air quality vehicle exhaust smoke,Department of Environmental Protection
Department of Environmental Protection,Air Quality,Vehicle Idling Odor,,Yes,Street/Sidewalk,4,4,air quality vehicle idling odor,Department of Environmental Protection
Department of Environmental Protection,Dry Weather Discharge,From Outfall,,Yes,Outfall,4,4,dry weather discharge from outfall,Department of Health and Mental Hygiene
Department of Environmental Protection,Green Infrastructure,Rain Garden,Debris,Yes,Street/Sidewalk,4,4,green infrastructure rain garden,Department of Health and Mental Hygiene
Department of Environmental Protection,Green Infrastructure,Rain Garden,Structure,Yes,Street/Sidewalk,4,4,green infrastructure rain garden,Department of Health and Mental Hygiene
Department of Environmental Protection,Green Infrastructure,Rain Garden,Planting,Yes,Street/Sidewalk,4,4,green infrastructure rain garden,Department of Health and Mental Hygiene
Department of Environmental Protection,Hazardous Material,Chemical Odor,,Yes,,4,4,hazardous material chemical odor,Department of Environmental Protection
Department of Environmental Protection,Hazardous Material,Chemical Safety/Storage,,Yes,,4,4,hazardous material chemical safety/storage,Department of Health and Mental Hygiene
Department of Environmental Protection,Hazardous Material,Chemical Safety,Abandoned,Yes,,4,4,hazardous material chemical safety,Department of Health and Mental Hygiene
Department of Environmental Protection,Hazardous Material,Chemical Spill,,Yes,,4,4,hazardous material chemical spill,Department of Environmental Protection
Department of Environmental Protection,Hazardous Material,Oil Spill Large,,Yes,Street,4,4,hazardous material oil spill large,Department of Environmental Protection
Department of Environmental Protection,Hazardous Material,Oil Spill Small,,Yes,Street,4,4,hazardous material oil spill small,Department of Environmental Protection
Department of Environmental Protection,Industrial Waste,Chemical Spill,,Yes,Catch Basin/Sewer,4,4,industrial waste chemical spill,Department of Environmental Protection
Department of Environmental Protection,Industrial Waste,Color,,Yes,Waterway,4,4,industrial waste color,Department of Sanitation
Department of Environmental Protection,Industrial Waste,Concrete,,Yes,Catch Basin/Sewer,4,4,industrial waste concrete,Department of Sanitation
Department of Environmental Protection,Industrial Waste,Gasoline Spill,,Yes,Catch Basin/Sewer,4,4,industrial waste gasoline spill,Department of Environmental Protection
Department of Environmental Protection,Industrial Waste,Grease,,Yes,Catch Basin/Sewer,4,4,industrial waste grease,Department of Sanitation
Department of Environmental Protection,Industrial Waste,Odor,,Yes,Catch Basin/Sewer,4,4,industrial waste odor,Department of Environmental Protection
Department of Environmental Protection,Industrial Waste,Oil Spill Large,,Yes,Catch Basin/Sewer,4,4,industrial waste oil spill large,Department of Environmental Protection
Department of Environmental Protection,Industrial Waste,Oil Spill Small,,Yes,Catch Basin/Sewer,4,4,industrial waste oil spill small,Department of Environmental Protection
Department of Environmental Protection,Industrial Waste,Sewage,,Yes,Waterway,4,4,industrial waste sewage,Department of Health and Mental Hygiene
Department of Environmental Protection,Industrial Waste,Wastewater,,Yes,Catch Basin/Sewer,4,4,industrial waste wastewater,Department of Sanitation
Department of Environmental Protection,Lead,Lead Kit,,Yes,Residential Building,4,4,lead lead kit,Department of Health and Mental Hygiene
Department of Environmental Protection,Noise,Air Conditioner/Ventilation,,Yes,Commercial/Mixed Use Building,4,4,noise air conditioner/ventilation,Department of Sanitation
Department of Environmental Protection,Noise,Air Conditioner/Ventilation,,Yes,Residential,4,4,noise air conditioner/ventilation,Department of Sanitation
Department of Environmental Protection,Noise,Alarm,Chronic,Yes,Commercial/Mixed Use Building,4,4,noise alarm,Department of Sanitation
Department of Environmental Protection,Noise,Alarm,Chronic,Yes,Street/Sidewalk,4,4,noise alarm,Department of Sanitation
Department of Environmental Protection,Noise,Animal Other Than Dog,,Yes,Commercial/Mixed Use Building,4,4,noise animal other than dog,Department of Sanitation
Department of Environmental Protection,Noise,Animal Other Than Dog,,Yes,Residential,4,4,noise animal other than dog,Department of Sanitation
Department of Environmental Protection,Noise,Boat,Engine/Music/Excessive Horn,Yes,Waterway,4,4,noise boat,Department of Sanitation
Department of Environmental Protection,Noise,Construction Equipment,,Yes,Street/Sidewalk,4,4,noise construction equipment,Department of Environmental Protection
Department of Environmental Protection,Noise,Construction Equipment,,Yes,Building/Construction Site,4,4,noise construction equipment,Department of Environmental Protection
Department of Environmental Protection,Noise,Construction Equipment,,Yes,Unknown,4,4,noise construction equipment,Department of Environmental Protection
Department of Environmental Protection,Noise,Construction,Before/After Hours,Yes,Street/Sidewalk,4,4,noise construction,Department of Sanitation
Department of Environmental Protection,Noise,Construction,Before/After Hours,Yes,Building/Construction Site,4,4,noise construction,Department of Sanitation
Department of Environmental Protection,Noise,Construction,Before/After Hours,Yes,Unknown,4,4,noise construction,Department of Sanitation
Department of Environmental Protection,Noise,Dog,,Yes,Commercial/Mixed Use Building,4,4,noise dog,Department of Sanitation
Department of Environmental Protection,Noise,Dog,,Yes,Residential,4,4,noise dog,Department of Sanitation
Department of Environmental Protection,Noise,Ice Cream Truck,,Yes,Street,4,4,noise ice cream truck,Department of Sanitation
Department of Environmental Protection,Noise,Jackhammer,,Yes,Building/Construction Site,4,4,noise jackhammer,Department of Sanitation
Department of Environmental Protection,Noise,Jackhammer,,Yes,Street/Sidewalk,4,4,noise jackhammer,Department of Sanitation
Department of Environmental Protection,Noise,Lawn Care Equipment,,Yes,Commercial Property,4,4,noise lawn care equipment,Department of Sanitation
Department of Environmental Protection,Noise,Lawn Care Equipment,,Yes,Residential Property,4,4,noise lawn care equipment,Department of Sanitation
Department of Environmental Protection,Noise,Manufacturing Business/Plant,,Yes,Commercial/Mixed Use Building,4,4,noise manufacturing business/plant,Department of Sanitation
Department of Environmental Protection,Noise,Private Garbage Truck,,Yes,Street,4,4,noise private garbage truck,Department of Sanitation
Department of Environmental Protection,Sewer Maintenance,Backup,,Yes,Sewer,4,4,sewer maintenance backup,Department of Health and Mental Hygiene
Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,,Yes,Sewer,4,4,sewer maintenance catch basin clogged,Department of Health and Mental Hygiene
Department of Environmental Protection,Sewer Maintenance,Catch Basin Grate Missing,,Yes,Sewer,4,4,sewer maintenance catch basin grate missing,Department of Environmental Protection
Department of Environmental Protection,Sewer Maintenance,Catch Basin Sunken,,Yes,Sewer,4,4,sewer maintenance catch basin sunken,Department of Health and Mental Hygiene
Department of Environmental Protection,Sewer Maintenance,Culvert,Blocked,Yes,Sewer,4,4,sewer maintenance culvert,Department of Health and Mental Hygiene
Department of Environmental Protection,Sewer Maintenance,Curb Piece,Missing,Yes,Sewer,4,4,sewer maintenance curb piece,Department of Transportation
Department of Environmental Protection,Sewer Maintenance,Flooding on Highway,,Yes,Highway,4,4,sewer maintenance flooding on highway,Department of Transportation
Department of Environmental Protection,Sewer Maintenance,Flooding on Street,,Yes,Street,4,4,sewer maintenance flooding on street,Department of Transportation
Department of Environmental Protection,Sewer Maintenance,Manhole Cover Missing,,Yes,Sewer,4,4,sewer maintenance manhole cover missing,Department of Environmental Protection
Department of Environmental Protection,Sewer Maintenance,Manhole Overflow,,Yes,Sewer,4,4,sewer maintenance manhole overflow,Department of Health and Mental Hygiene
Department of Environmental Protection,Sewer Maintenance,Odor,,Yes,Sewer,4,4,sewer maintenance odor,Department of Environmental Protection
Department of Environmental Protection,Waste Water Treatment Plant,Noise,,Yes,Plant,4,4,waste water treatment plant noise,Department of Environmental Protection
Department of Environmental Protection,Waste Water Treatment Plant,Odor,,Yes,Plant,4,4,waste water treatment plant odor,Department of Environmental Protection
Department of Environmental Protection,Water Conservation,Air Conditioning,During Drought,Yes,,4,4,water conservation air conditioning,Department of Environmental Protection
Department of Environmental Protection,Water Conservation,Fire Hydrant,Illegal Use,Yes,Street,4,4,water conservation fire hydrant,Department of Environmental Protection
Department of Environmental Protection,Water Conservation,Fountain,During Drought,Yes,,4,4,water conservation fountain,Department of Environmental Protection
Department of Environmental Protection,Water Conservation,Hose,Illegal Use,Yes,Commercial/Mixed Use Building,4,4,water conservation hose,Department of Environmental Protection
Department of Environmental Protection,Water Conservation,Hose,Illegal Use,Yes,Residential Building,4,4,water conservation hose,Department of Environmental Protection
Department of Environmental Protection,Water Conservation,Lawn Watering,During Drought,Yes,Residential Building,4,4,water conservation lawn watering,Department of Environmental Protection
Department of Environmental Protection,Water Conservation,Roof Tank,Leak/Overflow,Yes,,4,4,water conservation roof tank,Department of Environmental Protection
Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking,,Yes,Other,4,4,water conservation water meter broken/leaking,Department of Environmental Protection
Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking,,Yes,Residential Building,4,4,water conservation water meter broken/leaking,Department of Environmental Protection
Department of Environmental Protection,Water Conservation,Water Meter Missing/Stolen,,Yes,Other,4,4,water conservation water meter missing/stolen,Department of Environmental Protection
Department of Environmental Protection,Water Conservation,Water Meter Missing/Stolen,,Yes,Residential Building,4,4,water conservation water meter missing/stolen,Department of Environmental Protection
Department of Environmental Protection,Water Conservation,Water Serving,During Drought,Yes,Restaurant,4,4,water conservation water serving,Department of Environmental Protection
Department of Environmental Protection,Water Conservation,Water Waste,Plumbing Fixture,Yes,Other,4,4,water conservation water waste,Department of Environmental Protection
Department of Environmental Protection,Water Conservation,Water Waste,Plumbing Fixture,Yes,Residential Building,4,4,water conservation water waste,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,Dirty Water,,Yes,,4,4,water maintenance dirty water,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,Fire Hydrant Defective,,Yes,Sidewalk,4,4,water maintenance fire hydrant defective,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,Fire Hydrant Emergency,,Yes,Sidewalk,4,4,water maintenance fire hydrant emergency,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,Fire Hydrant Leaking,,Yes,Sidewalk,4,4,water maintenance fire hydrant leaking,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,Fire Hydrant Leaning/Missing,,Yes,Sidewalk,4,4,water maintenance fire hydrant leaning/missing,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,Fire Hydrant Lock Installation,,Yes,Sidewalk,4,4,water maintenance fire hydrant lock installation,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,Fire Hydrant Lock Removal,,Yes,Sidewalk,4,4,water maintenance fire hydrant lock removal,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,Fire Hydrant Open Request,,Yes,Sidewalk,4,4,water maintenance fire hydrant open request,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,Fire Hydrant Running Full,,Yes,Sidewalk,4,4,water maintenance fire hydrant running full,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,Fire Hydrant Running,,Yes,Sidewalk,4,4,water maintenance fire hydrant running,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,Fire Hydrant Valve Box,Cover Missing,Yes,Street,4,4,water maintenance fire hydrant valve box,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,High Water Pressure,,Yes,,4,4,water maintenance high water pressure,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,Leak,,Yes,,4,4,water maintenance leak,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,Low Pressure,,Yes,,4,4,water maintenance low pressure,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,No Water,,Yes,,4,4,water maintenance no water,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,Water in Basement,,Yes,,4,4,water maintenance water in basement,Department of Environmental Protection
Department of Environmental Protection,Water Maintenance,Water Main Break,,Yes,Street,4,4,water maintenance water main break,Department of Environmental Protection
Department of Environmental Protection,Water Quality,Clear With Insects/Worms,,Yes,,4,4,water quality clear with insects/worms,Department of Environmental Protection
Department of Environmental Protection,Water Quality,Clear With Particles,,Yes,,4,4,water quality clear with particles,Department of Environmental Protection
Department of Environmental Protection,Water Quality,Cloudy/Milky,,Yes,,4,4,water quality cloudy/milky,Department of Environmental Protection
Department of Environmental Protection,Water Quality,Cloudy/Milky,Other,Yes,,4,4,water quality cloudy/milky,Department of Environmental Protection
Department of Environmental Protection,Water Quality,Defective Sampling Station,,Yes,Street,4,4,water quality defective sampling station,Department of Environmental Protection
Department of Environmental Protection,Water Quality,Drinking Water Information,,Yes,,4,4,water quality drinking water information,Department of Environmental Protection
Department of Environmental Protection,Water Quality,Grease/Oil,,Yes,,4,4,water quality grease/oil,Department of Environmental Protection
Department of Environmental Protection,Water Quality,Odor/Taste,Musty/Stale,Yes,,4,4,water quality odor/taste,Department of Environmental Protection
